,0
533,0
534,1
535,0
536,1
537,0
538,0
539,0
540,0
541,0
542,1
543,0
544,0
545,1
546,1
547,0
548,0
549,1
550,1
551,0
552,0
553,0
554,0
555,0
556,1
557,1
558,1
559,1
560,1
561,1
562,1
563,1
564,1
565,1
566,1
567,1
568,1
569,1
570,1
571,1
572,1
573,1
574,1
575,1
576,1
577,0
578,0
579,0
580,1
581,1
582,1
583,0
584,0
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,0
593,0
594,0
595,0
596,0
597,0
598,0
599,0
600,0
601,0
602,0
603,1
604,1
605,1
606,1
607,1
608,1
609,1
610,1
611,1
612,1
613,1
614,1
615,1
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,1
630,1
631,1
632,1
633,1
634,1
635,1
636,1
637,1
638,1
639,1
640,1
641,1
642,1
643,1
644,1
645,1
646,1
647,0
648,1
649,1
650,1
651,1
652,1
653,1
654,1
655,1
656,1
657,1
658,1
659,1
660,1
661,1
662,1
663,1
664,1
665,0
666,0
667,0
668,0
669,0
670,1
671,1
672,0
673,0
674,0
675,0
676,0
677,1
678,1
679,1
680,1
681,1
682,1
683,1
684,1
685,1
686,1
687,0
688,0
689,1
690,0
691,1
692,0
693,0
694,0
695,1
696,0
697,1
698,1
699,0
700,0
701,0
702,0
703,0
704,0
705,0
706,0
707,0
708,0
709,0
710,0
711,1
712,1
713,1
714,1
715,1
716,1
717,1
718,1
719,1
720,1
721,1
722,1
723,1
724,1
725,1
726,0
727,1
728,1
729,1
730,1
731,1
732,0
733,0
734,0
735,0
736,0
737,0
738,0
739,1
740,1
741,1
742,1
743,1
744,0
745,1
746,1
747,1
748,1
749,1
750,1
751,0
752,0
753,0
754,0
755,0
756,0
757,1
758,0
759,1
760,1
761,1
762,1
763,1
764,0
765,0
766,1
767,1
768,1
769,1
770,1
771,0
772,0
773,0
774,1
775,1
776,1
777,1
778,0
779,0
780,0
781,0
782,0
783,1
784,1
785,1
786,1
787,1
788,1
789,1
790,1
791,1
792,1
793,1
794,1
795,1
796,1
797,0
798,0
799,0
800,0
801,1
802,1
803,1
804,1
805,1
806,0
807,0
808,0
809,0
810,1
811,1
812,1
813,1
814,1
815,1
816,0
817,0
818,1
819,1
820,1
821,1
822,1
823,0
824,1
825,0
826,1
827,0
828,0
829,0
830,0
831,0
832,0
833,0
834,0
835,0
836,0
837,1
838,1
839,1
840,1
841,1
842,1
843,1
844,1
845,1
846,1
847,1
848,1
849,1
850,1
851,1
852,1
853,0
854,0
855,0
856,1
857,1
858,0
859,0
860,0
861,0
862,0
863,1
864,1
865,1
866,1
867,1
868,0
869,1
870,0
871,0
872,0
873,0
874,0
875,0
876,0
877,0
878,0
879,1
880,0
881,0
882,0
883,0
884,0
885,0
886,0
887,1
888,1
889,1
890,1
891,1
892,1
893,1
894,1
895,1
896,1
897,1
898,1
899,1
900,1
901,1
902,1
903,1
904,1
905,1
906,1
907,1
908,1
909,1
910,1
911,1
912,1
913,1
914,1
915,1
916,0
917,1
918,1
919,1
920,1
921,1
922,0
923,0
924,0
925,0
926,0
927,0
928,0
929,1
930,1
931,1
932,1
933,1
934,1
935,1
936,1
937,0
938,0
939,0
940,0
941,0
942,1
943,0
944,1
945,1
946,0
947,0
948,0
949,0
950,0
951,1
952,1
953,1
954,0
955,0
956,0
957,0
958,0
959,1
960,1
961,1
962,1
963,1
964,1
965,1
966,1
967,1
968,1
969,1
970,1
971,1
972,1
973,1
974,1
975,1
976,0
977,1
978,0
979,0
980,0
981,0
982,0
983,0
984,0
985,0
986,0
987,0
988,1
989,1
990,1
991,1
992,1
993,1
994,0
995,0
996,0
997,0
998,0
999,0
